SRI_Parish_Code,Parish_Description,INEC_Parish_Code
2050105,SAN BUENAVENTURA,050105
2050150,LATACUNGA,050150
2050151,ALAQUES (ALAQUEZ),050151
2050152,BELISARIO QUEVEDO (GUANAILIN),050152
2050153,GUAITACAMA (GUAYTACAMA),050153
2050154,JOSEGUANGO BAJO,050154
2050156,MULALO,050156
2050157,11 DE NOVIEMBRE (ILINCHISI),050157
2050158,POALO,050158
2050159,SAN JUAN DE PASTOCALLE,050159
2050161,TANICUCHI,050161
2050162,TOACASO,050162
2050450,PUJILI,050450
2050451,ANGAMARCA,050451
2050453,GUANGAJE,050453
2050455,LA VICTORIA,050455
2050456,PILALO,050456
2050457,TINGO,050457
2050458,ZUMBAHUA,050458
2050750,SIGCHOS,050750
2050751,CHUGCHILAN,050751
2050752,ISINLIVI,050752
2050753,LAS PAMPAS,050753
2050754,PALO QUEMADO,050754
2040501,GONZALEZ SUAREZ,040501
2040502,SAN JOSE,040502
2040550,SAN GABRIEL,040550
2040551,CRISTOBAL COLON,040551
2040552,CHITAN DE NAVARRETE,040552
2040553,FERNANDEZ SALVADOR,040553
2040554,LA PAZ,040554
2040555,PIARTAL,040555
2040301,EL ANGEL,040301
2040302,27 DE SEPTIEMBRE,040302
2040350,EL ANGEL,040350
2040351,EL GOALTAL,040351
2040352,LA LIBERTAD (ALIZO),040352
2040353,SAN ISIDRO,040353
2040650,HUACA,040650
2040651,MARISCAL SUCRE,040651
2040450,MIRA (CHONTAHUASI),040450
2040451,CONCEPCION,040451
2040452,JIJON Y CAAMAÑO (CAB. EN RIO BLANCO),040452
